QUOTE,REMOVE
We are working with the tribe and the Bureau of Indian Affairs,
"This isn't just high school kids picking up garbage in a ditch along the road,",
"Obstruction of a Government Function,",
"ceremonial,",
"Warm temperatures have accelerated snowmelt in the area of the Oceti Sakowin protest camp, and the National Weather Service reports that the Cannonball River should be on the watch for rising water levels and an increased risk of ice jams later this week,",
"Due to these conditions, the governor’s emergency order addresses safety concerns to human life as anyone in the floodplain is at risk for possible injury or death. The order also addresses the need to protect the Missouri River from the waste that will flow into the Cannonball River and Lake Oahe if the camp is not cleared and the cleanup expedited,",
"water protectors,",
 on its claims that this easement decision as well as the Army Corps regulatory actions ,
"estimates and targets that the pipeline will be complete and ready to flow oil anywhere between the week of March 6, 2017 and April 1, 2017.",
dog kennels.,X
"With the amount of people that have been out there and the amount of estimated waste and trash out there, there is a good chance it will end up in the river if it is not cleaned up,",
"We're really fighting the clock,",
There's more garbage down there than anybody anticipated.,
"I don't want to sit around and argue about who's going to pay for it while we've got buildings floating down the Missouri River,",
"clean up the land to a pre-protest state,",
bcvid_5189568503001,X
water protectors.,
"I knew this was coming,",
"We are proving action by just being here,",
"People have dedicated months of their lives to this and now they're telling us to leave,",
"If they don't want your help, what are you going to do?",
all of this would be for naught.,
"will continue to be a world movement,",
"We're asking for people to be self-sufficient,",
"We don't expect the numbers — 15,000, 12,000 or whatever it was — it's just not sustainable.",
we have to win the war of public relations. We expect to win in the court of public opinion.,
"to what degree, we don't know,",
"Standing Rock has ignited a fire in all of us,",
We hope to see those fires continue to burn.,
the black snake.,
"I came here to kill the snake,",
And I'm staying here to kill the snake.,
Tag anyone and everyone! Time we put our foot down and up their asses. This Dakota access pipeline is not ok with us and we need all warriors to come join in the fight against big oil and for us to keep our water clean!,
"That, we feel, would alleviate a lot of issues,",
very well aware of the Dakota pipeline. We feel very confident that our requests have been heard and are being considered.,
"a large component is very violent, very confrontational,",
"to take a side,",
just to protect life and property.,
"We're county personnel, we can't go in there,",
we hopefully will see federal agents helping police.,
"they're gonna bring trumped up charges. They're going to use this to say the 'water protectors' are illegal in every form, so they can bring the feds in, the ATF in.",
"He cares deeply about the safety and security of these citizens,",
He wants to hear from the people involved. He wants to get down to the fundamental understanding and fix it.,
"the highest it's been in 47 years,",
"It's not a place where you can raise children or even live safely,",
"We are shocked and dismayed by today’s news because it puts water for millions at risk,",
"This move is legally questionable, at best. And based on what we know about Trump’s financial dealings in the Dakota Access Pipeline, it raises serious ethical concerns.",
"Trump’s decision to give the go-ahead for the Dakota Access Pipeline is a slap in the face to Native Americans and a blatant disregard for the rights to their land,",
The Trump administration should allow careful environmental impact analysis to be completed with full and meaningful participation of affected tribes.,
"We've been forgotten,",
"This is our stronghold,",
They will not cross this line.,
"water protectors,",
"This is sacred ground,",
We are claiming eminent domain.,
"When you have that many people engaged in that kind of behavior, inciting others to break the law, cheering others on as they do break the law, refusing to leave when they're asked to leave, that's not a protest,",
unbelievable restraint.,
"It is because of the behavior of the state that these tensions are heightened,",
"They put the blockade up. They have low-flying planes they've brought in. And they're the ones who use the terminology 'terrorist.' So if there's a heightened level of confrontation, it's not because of what the demonstrators are doing when they walk down that road to protest the construction that's going on.",
"In the beginning, we felt really welcome,",
They were begging them to stop. It is a little bit horrifying.,
"breached our line,",
"But you can't fight prayer,",
That's what keeps us together. We are not alone.,
spirit riders.,
"We're trying to protect our future,",
poison,
"It will not be just harmful to my people, but its intent and construction will harm the water in the Missouri River, which is one of the cleanest and safest river tributar[ies] left in the United States,",
a human issue.,
"all applicable federal, state and local environmental laws, regulations and standards,",
"We continually seek ways to enhance our operations in the areas of environmental and resource protection and conservation,",
"The construction and operation of the pipeline, as authorized by the Corps, threatens the tribe’s environmental and economic well-being, and would damage and destroy sites of great historic, religious, and cultural significance to the tribe,",
-//W3C//DTD HTML 4.0 Transitional//EN,X
http://www.w3.org/TR/REC-html40/loose.dtd,X
beacon,X
bam.nr-data.net,X
licenseKey,X
949ceaf672,X
applicationID,X
42428067,X
transactionName,X
MQZWYhAFXhdYAUBfWwhMdVUWDV8KFhFdWFMTD1VE,X
queueTime,X
applicationTime,X
atts,X
HUFBFFgfTUgbAxYMTxse,X
errorBeacon,X
bam.nr-data.net,X
agent,X
"Destiny called me here,",
We're committed. This cause has created momentum.,
revoke the permits,
extremely aggressive tactics,
"President Obama, Army Corps of Engineers, and Department of Justice",
inhumane methods used during WWII,
"We call on the White House to deny the easement now, revoke the permits, remove the DAPL construction workers, and order a full environmental impact statement,",
Know that the world's eyes and the eyes of the music community are on you now as you continue to disregard the treaties you have with the Native American people and act barbarically towards them.,
"Donald Trump is to become president, people connected to Trump are heiling in meetings, there's a normalisation of white supremacists. It's a very important time for us to be holding America to account,",
to discuss their concerns related to Wells Fargo's investment,
"There is an element there of people protesting who are frightening. It's time for them to go home,",
probably not feasible,
empty,X
"As a gang of Earth defenders, we want to send a big shoutout to the Oceti Sakowin and those who stand with them in opposing the Dakota Access Pipeline,",
"Join us in supporting the youth of Standing Rock as they fight the Dakota Access Pipeline, which will leak into their drinking water!",
Aquaman is pissed.,X
standing with the Great Sioux Nation to protect their water and lands.,
"I'm here as a mother and a grandmother to thank the people of the Standing Rock community for bringing our attention to this horrible thing that is happening to their land, which in turn will endanger all of us ... because all of our waters are connected,",
"We have so much we can learn from the Standing Rock Sioux Tribe and other Native American tribes,",
"The children of Standing Rock ran 2,200 miles on foot to Washington, D.C. to save their sacred land from the oil industry. Let's help protect them so they can continue to live in peace #rezpectourwater.",
"Over the past few weeks, thousands of Native Americans representing tribes from all over the country have traveled to this central North Dakota reservation to camp in a nearby meadow and show solidarity with a tribe they think is once again receiving a raw deal at the hands of commercial interests and the U.S. government.",
"More than 200 Native American tribes have declared their support, and many have sent food and supplies,",
"As many of you know, the way that Native Americans were treated was tragic,",
One of the priorities that I've had as President is restoring an honest and generous and respectful relationship with Native American tribes. And this issue of ancestral lands and helping them preserve their way of life is something that we have worked very hard on.,
shrieking,X
significant new use rule,
"important, unprecedented action on asbestos,",
USDA Organic,X
"The Dakota Access threatens everything from farming and drinking water to entire ecosystems, wildlife and food sources,",
"It is time for a new approach to the Native American people, not to run a pipeline through their land,",
And we are demanding that sovereign rights of the Native American people be honoured and respected.,
mainline,X
the most powerful experience I have had in 25 years at Standing Rock,
racist response,
spiritual battle,
"This is a protest about the stewardship of God's creation and justice for the indigenous peoples of the Great Plains,",
doctrine of discovery,
doctrine of discovery,
emergency evacuation,
passive role,
"The governor is more interested in public safety than setting up a road block and turning people away,",
"hard road block,",
"So that effectively is going to block that stuff (supplies), but there is not going to be a hard road block,",
bullying,X
"It's bogus and I don't know about the legality of it,",
We're not afraid. We're moving in and out of the camp at will. So people shouldn't be afraid of coming and supporting the water protectors. They've been bullying us since day one.,
an ongoing riot.,
"Last night was a really critical life or death situation,",
There were hundreds of people out on the frontlines. People were first soaked down with tear gas and then sprayed with a bunch of water.,
"I'm out there with my three year-old daughter, looking in the face of police in full riot gear, with mace in cans the size of small fire extinguishers, with their huge guns like something out of Rambo,",
"You could see they were ready for action,",
water protectors,X
"We bring our drums and our medicine,",
"But we're working with other tools, too. Mark Ruffalo is here to help us build a mobile media van. Right now all we've got is the reservation and our headquarters, Facebook Hill.",
"I'm out there with my three year-old daughter, looking in the face of police in full riot gear, with mace in cans the size of small fire extinguishers, with their huge guns like something out of Rambo.",
"Most of the land out here is for cattle grazing, so the connectability challenge is great,",
"We'd be using our phones, and all the sudden the batteries would get sucked down really fast,",
"It's like this ever-revolving door,",
"I've got the equipment and know-how to get a small tower out there, but encampments are shifting so quickly, they tell me to hold off, and then before you know it we're going weeks without a decent internet connection out there.",
"Right now all we've got is the reservation and our headquarters, Facebook Hill.",
"I do take personal responsibility for that,",
"[The water protectors] want the capability to upload high-quality video, even do radio, to show directly what's going on. But this area isn't made for high-traffic internet. It's not just a matter of setting up a little tower and shooting point-to-point internet at them, from our main tower here. It's a line of sight issue. The camp is sitting below a ridge.",
"Here's my email address,",X
I can tell I'm about to lose you soon.,
"Buffalo Bill's Wild West Show,",
"play Indian,",
"Just because someone is protesting one type of technological intrusion doesn't mean that their embrace of other technologies is somehow ironic. It's a sign of technological sophistication, not a fruitless protest against modernity, as I think is sometimes shown in the media,",
"The idea of small-is-beautiful is important here I think,",
"This was an ethic popularized by the American counterculture but quickly adopted by indigenous peoples globally as a means of reconciling nature, culture and technology.",
Google in paperback form,
I'm too ignorant of this one to be helpful.,
"[The counterculture] could be united as a tribe within an information medium and they could use that medium as a tool, like LSD, to achieve a recognition of the information patterns and energy that linked them to their fellows and to the natural world,",
small-is-beautiful,
"It's a sign of technological sophistication, not a fruitless protest against modernity, as I think is sometimes shown in the media.",
"rioters,",
"small-is-beautiful,",
back to normal.,
Standing Rock has set themselves up to lose big.,
"We cannot let the politics of extreme activists, or the narcissistic antics of celebrities, harm what should be our most important goal, which is comity between tribal and non-tribal communities and a unified, neighborly spirit as North Dakotans.",
They want violence,
Has occupy Wall Street come to the prairies?,
"The local police have claimed we used bows to shoot arrows at helicopters,",
"There have been over 200 arrests thus far, and not one weapon produced.",
"There's been a media blackout for so long on this issue, we're dependent on social media.",
"For the past three months, activity has been spread out over 30 miles west of the Missouri River, now it's concentrated into an eight-mile swatch,",
"We'll see and hear drones overhead at night, it's really eerie.",
"Yep, we've started to see drones we can't identify,",
"The police even charged one of our licensed drone operators, Myron Dewey, we partnered with him to produce media from our camp. They confiscated his drone, it's still in their possession. That's thousands of dollars. There's been a media blackout for so long on this issue, we're dependent on social media.",
"So we've got to work with Freddy [McLaughlin], to boost our signal, he's got that tower on the other side of these hills,",
Our only other hope is death by delay. Stop this pipe by waiting it out.,
"It's more intense than it ever has been,",
"People think Standing Rock has come and gone,",
But we will continue this fight until we are heard and the world knows what happened to us.,
"We know we are going to fight this to the very end,",
"They (the United States government) ought to be ashamed of themselves,",
They have a moral obligation to uphold the honour of the Great Sioux Nation.,
"We are going to keep it going, keep organizing meetings and find a way to be able to take care of the health and welfare of our people, and preserve land and water,",
"They didn't have sufficient evidence,",
I'm feeling relieved.,
I feel like this is a victory for everybody who was arrested that day. Hopefully the charges against them will be dropped as well.,
bogus.,
"It wasn't a riot,",
"On the day I was arrested, it was during a prayer walk away from the pipeline.",
"It was really violent,",
"We had elders, women and pregnant women. It was a peaceful march, we were singing.",
"Manuel spent the day and night in jail and was released the next day. Two weeks later, she plead not guilty to the charges against her.",
"Our goal is to stop this pipeline. Our goal is to stop investors from investing in this pipeline,",
"If I don't stand up for my rights and our title as a Secwepemc woman and as a mother, I'm leaving this fight even greater for my children. I love my children so much that I'll do whatever I can to protect their water and their salmon for all of their future.",
"A part of this tiny-house project and movement is that we want to continue to have these, not just as a battle against the Kinder Morgan pipeline, but to help solve some of the housing crises that Indigenous people are facing,",
"When it comes to our operating and construction sites, safety is our first priority – safety of our workers, communities and everyone near our worksites. And to that end, we will make every effort to ensure we can carry out our work safely,",
"These homes are about creativity,",
They're about hope. They're about resistance and they're about a more sustainable vision for the future.,
Judge dismisses DAPL case against BankTrack in full,
"Divest, invest, protect: Indigenous women lead divestment campaign,",
Judge won't stop construction of Dakota Access pipeline,
Water protectors,X
allow cookies,X
Accept,X
No Dakota Access Pipeline,X
"It's a distraction,",
"If they were leaving, they'd take the razor wire and all their vehicles, but they're still continuing to get the drill pad ready. They're not going anywhere, they just want us to leave.",
"As stated all along, ETP and SXL are fully committed to ensuring that this vital project is brought to completion and fully expect to complete construction of the pipeline without any additional rerouting in and around Lake Oahe,",
Nothing this administration has done today changes that in any way.,
"They're just making it look like they're going to get out of here so people leave and we lose our numbers,",
It's like the opposite of scare tactics — giving people hope where there is none.,
"It's not over until they give this land back,",
"This is a fight for water, and for sacred land. They're still going to need support here.",
It's not over.,
"in many instances we exceed government safety standards to ensure a long-term, safe and reliable pipeline.",
"It's historic, really. I don't think anything like this has ever happened in documented history,",
act of war,
"Wopila [thank you] to all our relatives who stood strong to oppose the KXL,",
"But keep the coalitions together, because there are more pipelines proposed, and we must protect our Mother Earth for our future generations.",
"If you don't know very much about Native American people, you wouldn't understand that this is something that's kind of natural to us,",
"When we have ceremonies, we do camps like this. It's something that we've always known how to do, going back to pre-colonial times.",
an armed camp,
There are no rights being violated here that haven't been violated before.,
bureaucratic disregard for consultation with indigenous people.,
"I'm, like, oh yeah, they did that in the 19th century, they did that in the 16th century,",
"This is not new. ... The contemporary tactics used against indigenous people might look a little bit more complex or savvy, but to me, I can read it all as part of a longstanding colonial project.",
"Maybe for non-Natives who thought that the West was won, and the Indian Wars were over, and Native people were mostly dead and gone and isn't that too bad – now, they're like, 'Oh wait a minute, they're still there? And they're still fighting the same things they were 150 years ago?'",
"We're definitely not post-racial. And we like things complicated.For more on who we are, look here. Don't know what it means to ",
water protectors,
"When you look at Donald Trump's cabinet, the administration is extremely close to the pipeline company,",
undaunted,
"The Obama administration correctly found that the tribe's treaty rights needed to be respected, and that the easement should not be granted without further review and consideration of alternative crossing locations,",
Trump's reversal of that decision continues a historic pattern of broken promises to Indian tribes and violation of treaty rights. They will be held accountable in court.,
mainline,
the most powerful experience I have had in 25 years at Standing Rock,
racist response,
spiritual battle,
"This is a protest about the stewardship of God's creation and justice for the indigenous peoples of the Great Plains,",
doctrine of discovery,
doctrine of discovery,
Mni Wiconi,
Water is Life.,
"By granting the easement, Trump is risking our treaty rights and water supply to benefit his wealthy contributors and friends at DAPL,",
"We are not opposed to energy independence. We are opposed to reckless and politically motivated development projects, like DAPL, that ignore our treaty rights and risk our water. Creating a second Flint does not make America great again.",
"Ground water contamination by crude oil is a widespread problem,",
"24 hours a day, seven days a week and 365 days a year.",
"developed response and action plans, and will include several monitoring systems, shut-off valves, and other safety features to minimize the risk of spills and reduce...any potential damages.",
"the most immediate concern,” said Walter Fleming, department head and professor of Native American studies at Montana State University. “But I think all tribes would be in agreement that this is a bigger question about tribes being able to assert their rights beyond the boundary of the reservation.”Jahmisa Manakaja, 35, of the Havasupai Tribe from the Havasupai Indian Reservation in the Grand Canyon addresses the Oceti Sakowin Camp main fire ring Thursday, Sept. 29, 2016. (Photo: Rodney White/The Register)Fleming, an enrolled member of the Kickapoo Tribe in Kansas, says this occupation is reminiscent of others:In 1969, 89 Native American activists undertook a 19-month occupation of Alcatraz Island in an effort to reclaim native land.In 1973, Oglala Lakota and American Indian Movement members occupied the site of the 1890 Wounded Knee massacre. The dispute started over a tribal leadership issue, but also tapped into the federal government’s failure to honor past treaties. The 71-day occupation ended after federal agents killed a Lakota man.Fleming said both of those movements were more militant than the Standing Rock effort.“This one is certainly the opposite,” he said. “It’s peaceful and prayerful.”A barbed wire fence in front of the camp proclaims to drivers along state Highway 1806: “We are unarmed.”The protesters here, who call themselves water protectors, maintain they have no plans to bring violence to their struggle.“We’re here in prayer,” said Joel Running Bear. “We have no weapons.”The U.S. Army Corps of Engineers, nodding to protesters' First Amendment rights, has indicated it will not evict protesters from the campsite. But many fear that the other side is gearing up for a fight.State troopers, Bureau of Indian Affairs police and city police officers from as far away as Fargo constantly buzz past the camp. The North Dakota National Guard checks license plates at a concrete road blockade nearly 30 miles north of the camp. And a non-law enforcement helicopter, rumored to be private security, frequently buzzes overhead.North Dakota National Guardsmen control traffic Sunday, Oct. 2, 2016, just south of Mandan, N.D., on the road leading to a camp near Standing Rock reservation. They have been checking the license numbers of vehicles that head toward the reservation and Dakota Access pipeline work areas. (Photo: Rodney White/The Register)Officials with the lead law enforcement agency, the Morton County Sheriff's Department, could not be reached for comment.But Lt. Tom Iverson, spokesman for the North Dakota State Highway Patrol, said on-scene officers want to avoid confrontation with protesters. While activists have not been violent, he said their actions were aggressive toward police. Just this week, he said several protesters who ventured off the campsite wore gas masks and approached police in an attempt to intimidate officers protecting work sites.",X
 he said. ,X
explore alternate routes,
"Although we have had continuing discussion and exchanges of new information with the Standing Rock Sioux and Dakota Access, it's clear that there's more work to do,",
The best way to complete that work responsibly and expeditiously is to explore alternate routes for the pipeline crossing.,
thoughtful approach ... ensures that there will be an in-depth evaluation of alternative routes for the pipeline and a closer look at potential impacts,
"underscores that tribal rights reserved in treaties and federal law, as well as Nation-to-Nation consultation with tribal leaders, are essential components of the analysis to be undertaken in the environmental impact statement going forward.",
"We have been asked by the elders not to do direct action,",
"If we come forward, they will attack us,",
"If you see someone who needs help, help them out.",
"The question was asked if we would consider pulling back from the Backwater Bridge,",
and the answer is yes! We want this to de-escalate.,
"will result in their arrest,",
"People are fighting for something, and I thought they could use my help,",
I'll see you when I get back.,
"This is not just a native issue,",
This is an issue for everyone.,
"We know in Flint that water is in dire need,",
"In North Dakota, they're trying to force pipes on people. We're trying to get pipes in Flint for safe water.",
about right and wrong and peace and love.,
"I hoped even a lawless President wouldn't continue to ignore the rule of law. However, it was becoming increasingly clear he was punting this issue down the road,",
Today's unfortunate decision sends a very chilling signal to others who want to build infrastructure in this country.,
advancing aboriginal prosperity,
//connect.facebook.net/en_US/sdk.js#xfbml=1&version=v2.9&appId=1269941596437230,X
The Seventh Generation.,
prayer,
prayer camps,
water protectors,
"enhanced and improved our integrity management program,",
last vision,
"As indigenous people, when something happens to one of us, it happens to all of us,",
"We’re here today to send a message that we, as human beings, are indigenous to the earth. The earth is our mother. Your relationship with the mother is forever. The earth gives us our water, our air, our food, our shelter. We need to protect it.",
"It’s not about money — it’s about our lives.”The rally revealed divisions among pipeline opponents. Dave Archambault, the chairman of the Standing Rock Sioux tribe, was booed and heckled by some in the crowd who called him “DAPL Dave” and accused him of being complicit with the bulldozing of a camp where thousands of protesters lived.“We are not defeated. We are not victims,” Archambault said. “An obstacle is also an opportunity.”Among the rallygoers were number of non-Native Americans who demonstrated in a sign of solidarity.",
" said Ardeth Platte, 81, a Catholic nun and retired high school principal from Baltimore. ",
water protectors,
"We are going around and sharing our stories as well as talking to the banks here in Europe that are invested in the fossil fuel projects on our lands,",
"We are here to ask the banks to divest from the fossil fuel projects as they are contributing to the genocide of our people, the environmental racism that continues to take place, as well as the violation of our treaty rights.",
"They are invested in the fossil fuel projects on our lands that again continue to oppress our people. So we are here to send a message to Credit Suisse that they need to divest from these projects, as well as invest in policies that protect our indigenous nations,",
"We were not welcomed,",
"We were muffled out. We were booed. Some of the board members that were present avoided us. They went around the room and tried to avoid our question. They would not answer it,",
They did not say they would divest. They did not respond to us at all.,
"We will continue to be a voice,",
"We will continue to express ourselves in the way we have and continue the civil disobedience, taking people out of their comfort zones until these banks and these nations get the message.",
"We have been fighting this kind of fight for years, and we are going to continue to fight it because it affects our communities first,",
We are suffering the highest rates of cancer. We are suffering the highest rates of sex trafficking per capita. We are suffering the highest rates of suicide per capita.,
The new mexicanidad,
"We think this is a great step forward for energy security in America,",
Edmonton photographer describes covering Standing Rock and Dakota Access pipeline,
"The opportunity to build awareness started at Standing Rock and it's spreading out to other areas of the United States,",
"A big part of our message was not just to nationalize the fight against Dakota Access, but to highlight regional issues that people are facing,",
To use our momentum.,
"I really believe this momentum is going to stay alive,",
"Standing Rock was the focal point, was the root of this movement. If we learned anything from Standing Rock, it's the power of unity. It wasn't one (tribal) nation -- it was more than 400.",
"Social media makes it more difficult to shut off the camera,",
"In some way, they're their own reporters and they don't need the networks to report it. Social media connects the tribe; it now connects all of these separate groups.",
people against pipelines,
"The broader movement to stop resource extraction has taken inspiration from (Dakota Access),",
I think we can expect to see this trend continue as more and more communities feel that their safety and health is under threat due to the president's support of the fossil fuel industry over marginalized communities.,
spiritual path.,
"Archaeologists—they don't see these,",
The [archaeological] firm that came through here walked over these. They do not have a connection that we have to our spiritual walk of life.,
are rooted in that community's history,
are important in maintaining the continuing cultural identity of the community.,
shrieking,
significant new use rule,
"important, unprecedented action on asbestos,",
USDA Organic,X
#ad-halfpage-225161-0,X
:empty,X
tn_author,X
"'tom-g', 'annie-l'",X
tn_articleid,X
tn_ptype,X
article,X
tn_keyword,X
"'bank-of-am', 'environmen', 'native-ame'",X
tn_subject,X
"'activism', 'banking', 'business', 'corporatio', 'economy', 'energy', 'energy-pol', 'environmen', 'environmen', 'environmen', 'government', 'law', 'oil-and-ga', 'politics', 'social-jus', 'society'",X
tn_slp,X
,X
tn_author,X
"'tom-g', 'annie-l'",X
tn_articleid,X
tn_ptype,X
article,X
tn_keyword,X
"'bank-of-am', 'environmen', 'native-ame'",X
tn_subject,X
"'activism', 'banking', 'business', 'corporatio', 'economy', 'energy', 'energy-pol', 'environmen', 'environmen', 'environmen', 'government', 'law', 'oil-and-ga', 'politics', 'social-jus', 'society'",X
tn_slp,X
people power,
social license,
why won't you divest from the project?,
"TD is concerned about a number of issues and we continue to make our views known publicly as well as privately to Energy Transfer Partners,",
"We operate primarily in economies with abundant energy resources and strong related industries - products required for citizens' prosperity, comfort, and daily living needs, and they represent millions of jobs within their footprint,",
"We have strong due diligence processes in place because we will only finance responsible resource development that appropriately balances environmental, economic, and social considerations.",
"These are complex problems. And, at the end of the day, I'm a big believer that corporations like TD can play a constructive role in fostering not just economic opportunity for communities, but also an ambitious environmental agenda.",
Water is Life,
Resist Dakota Access,
"We are a sovereign nation and we will fight to protect our water and sacred places,",
"Our hope is that the new administration in Washington will now provide North Dakota law enforcement the necessary resources to bring closure to the protests,",
Native Nations,
"Take action, any way you can, now,",
"We have not lost. We are still here,",
boycott,
"It's a long shot,",
Both scenarios [the temporary injunction and the summary judgement] are extremely risky.,
shut the pipeline operations down.,
"People are scared,",
"There is a feeling that the police can move in at any moment, and that they can do anything now they have the government on their side.",
"We are on the edge of a precipice,",
We have to stand. Mother Earth is life.,
trespassing.,X
Hu,X
We will still fight!,
og:type,X
content,X
?page_1,X
width,X
height,X
isfirstpage,X
ouibounce-modal,X
animated,X
"display:none; position: fixed; top: 0px; left: 0; right: 0; z-index:9500; box-shadow: 0 0 10px rgba(0,0,0,.2);",X
"padding: 10px 20px 10px 20px; background: rgb(249, 249, 249); box-sizing: border-box; border: 1px solid rgb(204, 204, 204); animation-duration: 0.75s;",X
row form-row,X
margin: 0 -15px,X
https:\/\/www.artnet.com\/api\/subscriptions,X
col-xs-12 newsletter-signup-form,X
post,X
display: inline-block;,X
source,X
Source,X
hidden,X
artnetnewsbar,X
row,X
margin: 0 -15px,X
col-lg-8 col-md-7,X
padding-right:0,X
description,X
color: #888; text-align: left; margin: 10px 45px 5px 0; letter-spacing:1px; font-size:15px;,X
col-lg-4 col-md-5,X
form-group,X
errors row,X
text-align: left; width: 100%; padding: 0 15px; color: #d9534f; font-size: 12px; line-height: 20px;,X
invalid-email,X
display: none;,X
signup-failed,X
display: none;,X
position: relative; z-index: 1;,X
fa fa-envelope,X
position: absolute; top: 11px; left: 16px; font-size: 16px;,X
col-xs-12 col-sm-7 signup-email,X
Email,X
Enter email address,X
padding: 9px; border: 1px solid #ccc; margin: 0 10px 0 0; float: left; background: #FFF url() no-repeat scroll 7px 7px; padding-left:44px;,X
text,X
col-xs-12 col-sm-3 btn btn-primary btn-xs newslettersignupsubmitted,X
height: 40px; color:#FFF; background-color:#000; letter-spacing: 2px; text-transform: uppercase; border:none; border-radius:0;,X
submit,X
Sign Up,X
newsletter-signup-thank-you,X
text-align: left; display:none;,X
close-signup,X
position: absolute; padding: 10px 20px; top:9px; right: 0; cursor: pointer; z-index: 1; background:url(https://news.artnet.com/app/themes/artnet-news/assets/img/icon-close-gray.svg) no-repeat; width:22px; height:22px; background-size:22px 22px;,X
https://cdnjs.cloudflare.com/ajax/libs/ouibounce/0.0.12/ouibounce.js,X
expires=,X
=,X
;,X
;path=/,X
=,X
;,X
;path=/,X
=,X
,X
https://code.jquery.com/jquery-3.1.1.min.js,X
sha256-hVVnYaiADRTO2PzUGmuLJr8BLUSjGIZsDYGmIJLv2b8=,X
anonymous,X
"By granting the easement, Trump is risking our treaty rights and water supply to benefit his wealthy contributors and friends at DAPL,",
"We are not opposed to energy independence. We are opposed to reckless and politically motivated development projects, like DAPL, that ignore our treaty rights and risk our water. Creating a second Flint does not make America great again.",
"Ground water contamination by crude oil is a widespread problem,",
"24 hours a day, seven days a week and 365 days a year.",
"developed response and action plans, and will include several monitoring systems, shut-off valves, and other safety features to minimize the risk of spills and reduce...any potential damages.",
"This action is motivated purely by politics at the expense of a company that has done nothing but play by the rules it was given,",
"To propose, as the corps now does, to further delay this pipeline and to engage in what can only be described as a sham process sends a frightening message about the rule of law.",
comported with legal requirements.,
pursue its legal rights.,
"Millions of people have literally and spiritually stood with us at Standing Rock. And for this, you have our deepest thanks and gratitude,",
"The harmful and dehumanizing tactics by the state of North Dakota and corporate bullies did not go unnoticed because of you. Not all of our prayers were answered, but this time, they were heard.",
"very, very keen",
" the judge wrote.A later ruling will decide whether pipeline operations must cease in the interim.This is the Standing Rock Sioux tribe’s third attempt to block the pipeline through legal action. Last summer, thousands of people gathered near the construction site to try to shut down the pipeline through protest. The Army Corps shut down the protests in February. Tribe Chairman Dave Archambault II called the judge's ruling a “significant victory”.“The previous administration painstakingly considered the impacts of this pipeline, and President Trump hastily dismissed these careful environmental considerations in favour of political and personal interests,” he said in a statement.The chairman added that he would ask the court shut down pipeline operations immediately.Other members of the tribe, however, were hesitant to declare victory. Chase Iron Eyes – an attorney for Lakota Law, which represents some of the tribe members – says he felt hopeful when Mr Obama halted the pipeline's construction in 2016. But now that Mr Trump has allowed it to be completed, he has little hope the tribe's circumstances will change. ",X
 he told The Independent. ,X
"The court victory, he added, rings hollow now that the pipeline is already in the ground.“I can’t pin down anything other than a good vibe coming from the fact that something went our way,",
deployed,X
"We do not trust the government, period,",
undisturbed use and occupation,
the Dakota Access Pipeline poses a serious risk to the very survival of our Tribe and ... would destroy valuable cultural resources.,
"Mni Wiconi,",X
When the Ghosts Come Ashore,X
og:type,X
content,X
?page_1,X
width,X
height,X
isfirstpage,X
ouibounce-modal,X
animated,X
"display:none; position: fixed; top: 0px; left: 0; right: 0; z-index:9500; box-shadow: 0 0 10px rgba(0,0,0,.2);",x
"padding: 10px 20px 10px 20px; background: rgb(249, 249, 249); box-sizing: border-box; border: 1px solid rgb(204, 204, 204); animation-duration: 0.75s;",X
row form-row,X
margin: 0 -15px,X
https:\/\/www.artnet.com\/api\/subscriptions,X
col-xs-12 newsletter-signup-form,X
post,X
display: inline-block;,X
source,X
Source,X
hidden,X
artnetnewsbar,X
row,X
margin: 0 -15px,X
col-lg-8 col-md-7,X
padding-right:0,X
description,X
color: #888; text-align: left; margin: 10px 45px 5px 0; letter-spacing:1px; font-size:15px;,X
col-lg-4 col-md-5,X
form-group,X
errors row,X
text-align: left; width: 100%; padding: 0 15px; color: #d9534f; font-size: 12px; line-height: 20px;,X
invalid-email,X
display: none;,X
signup-failed,X
display: none;,X
position: relative; z-index: 1;,X
fa fa-envelope,X
position: absolute; top: 11px; left: 16px; font-size: 16px;,X
col-xs-12 col-sm-7 signup-email,X
Email,X
Enter email address,X
padding: 9px; border: 1px solid #ccc; margin: 0 10px 0 0; float: left; background: #FFF url() no-repeat scroll 7px 7px; padding-left:44px;,X
text,X
col-xs-12 col-sm-3 btn btn-primary btn-xs newslettersignupsubmitted,X
height: 40px; color:#FFF; background-color:#000; letter-spacing: 2px; text-transform: uppercase; border:none; border-radius:0;,X
submit,X
Sign Up,X
newsletter-signup-thank-you,X
text-align: left; display:none;,X
close-signup,X
position: absolute; padding: 10px 20px; top:9px; right: 0; cursor: pointer; z-index: 1; background:url(https://news.artnet.com/app/themes/artnet-news/assets/img/icon-close-gray.svg) no-repeat; width:22px; height:22px; background-size:22px 22px;,X
https://cdnjs.cloudflare.com/ajax/libs/ouibounce/0.0.12/ouibounce.js,X
expires=,X
=,X
;,X
;path=/,X
=,X
;,X
;path=/,X
=,X
,X
https://code.jquery.com/jquery-3.1.1.min.js,X
sha256-hVVnYaiADRTO2PzUGmuLJr8BLUSjGIZsDYGmIJLv2b8=,X
anonymous,X
